factura_numero,ref,descripcion,cantidad,precio,descuento,importe
68,140946,JOSE ANTONIO PÉREZ MELENDO,1.0,62.04,0.0,62.04
69,140946,JOSE ANTONIO PÉREZ MELENDO,1.0,62.04,0.0,62.04
57,602,OTROS APROVISIONAMIENTOS,1.0,61.11,0.0,61.11
27,REF_AUTO_2F43B4,Mª JOSÉ(GRANADA),16.0,7.57,50.0,60.56
74,6292,LOGO,30.0,2.0,0.0,60.0
66,6241,PORTES,1.0,59.4,0.0,59.4
34,6292,CAMISETA BUGATTI TALLA M BLANCO/VERDE,10.0,5.74,0.0,57.400000000000006
34,6292,CAMISETA BUGATTI TALLA XXL BLANCO/VERDE,10.0,5.74,0.0,57.400000000000006
9,CABLE KIT,CABLE KIT  (PYLONTECH),4.0,13.95,0.0,55.8
72,08985111,ALMACÉN,12.0,4.64,0.0,55.67999999999999
27,080086,Mª JOSÉ (GRANADA),1.0,92.3,40.0,55.38
68,080086,FUENTE TÓJAR,1.0,92.3,40.0,55.38
69,080086,FUENTE TÓJAR,1.0,92.3,40.0,55.38
32,DMME25V,Mª JOSÉ (GRANADA),1.0,89.0,38.0,55.18
68,153403,JESÚS MORALES,5.0,10.98,0.0,54.900000000000006
69,153403,JESÚS MORALES,5.0,10.98,0.0,54.900000000000006
Líneas de factura de compra,DMME25V,DESFANGADOR MAGNÉTICO DE LATO FILTRO INOX 1',1.0,89.0,40.0,53.4
48,14706035,VENTILADOR TANGENCIAL IZDA (BOCA 300X40MM),1.0,75.0,30.0,52.5
52,MULPTHKC32,JESÚS MORALES BUSTOS - LA YEDRA,10.0,22.23,77.0,51.129
23,DINAK80SP-ABRA-UNION,ABRAZADERA UNIÓN DINAK SW 80 DIAM.,17.0,7.12,58.0,50.83680000000001
24,DINAK80SP-ABRA-UNION,ABRAZADERA UNIÓN DINAK SW 80 DIAM.,17.0,7.12,58.0,50.83680000000001
60,624,TRANSPORTES,1.0,50.0,0.0,50.0
35,00580592-1,RECARGA BOTELLA NITRÓGENO 7L,1.0,49.32,0.0,49.32
